Conexion,Principal,Derivacion, Referencia ,Carga,link
1,2,2,PGSS 203,65,https://www.powerground.com.co/product-page/molde-para-union-horizontal-cable-cable-pgss-203
1,1/0,1/0,PGSS 205,90,https://www.powerground.com.co/product-page/molde-para-union-horizontal-cable-cable-pgss-205
1,2/0,2/0,PGSS 206,90,https://www.powerground.com.co/product-page/molde-para-union-horizontal-cable-cable-pgss-206
1,4/0,4/0,PGSS 208,115,https://www.powerground.com.co/product-page/molde-para-union-horizontal-cable-cable-pgss-208
1,250 MCM,250 MCM,PGSS 209,115,https://www.powerground.com.co/product-page/molde-para-union-horizontal-cable-cable-pgss-209
2,2,2,PGSV 1253,65,https://www.powerground.com.co/product-page/molde-para-union-vertical-cable-cable-pgsv-1253
2,1/0,1/0,PGSV 1255,65,https://www.powerground.com.co/product-page/pgsv-1255-molde-para-union-vertical-cable-cable
2,2/0,2/0,PGSV 1256,90,https://www.powerground.com.co/product-page/pgsv-1256-molde-para-union-vertical-cable-cable
2,4/0,4/0,PGSV 1258,90,https://www.powerground.com.co/product-page/pgsv-1258-molde-para-union-vertical-cable-cable
2,250 MCM,250 MCM,PGSV 1259,115,https://www.powerground.com.co/product-page/pgsv-1259-molde-para-union-vertical-cable-cable
3,2,2,PGTAS 223,65,https://www.powerground.com.co/product-page/molde-para-union-en-t-horizontal-pgtas-223
3,1/0,1/0,PGTAS 228,90,https://www.powerground.com.co/product-page/molde-para-union-en-t-horizontal-pgtas-228
3,1/0,2,PGTAS 230,65,https://www.powerground.com.co/product-page/molde-para-union-en-t-horizontal-pgtas-230
3,2/0,2/0,PGTAS 232,90,https://www.powerground.com.co/product-page/molde-para-union-en-t-horizontal-pgtas-232
3,2/0,1/0,PGTAS 233,90,https://www.powerground.com.co/product-page/molde-para-union-en-t-horizontal-pgtas-233
3,2/0,2,PGTAS 235,65,https://www.powerground.com.co/product-page/molde-para-union-en-t-horizontal-pgtas-235
3,2/0,4/0,PGTAS 5476,90,https://www.powerground.com.co/product-page/molde-para-union-en-t-horizontal-pgtas-5476
3,4/0,4/0,PGTAS 241,150,https://www.powerground.com.co/product-page/molde-para-union-en-t-horizontal-pgtas-241
3,4/0,2/0,PGTAS 243,90,https://www.powerground.com.co/product-page/molde-para-union-en-t-horizontal-pgtas-243
3,4/0,1/0,PGTAS 244,90,https://www.powerground.com.co/product-page/molde-para-union-en-t-horizontal-pgtas-244
3,4/0,2,PGTAS 246,90,https://www.powerground.com.co/product-page/molde-para-union-en-t-horizontal-pgtas-246
3,250 MCM,250 MCM,PGTAS 247,150,https://www.powerground.com.co/product-page/molde-para-union-en-t-horizontal-pgtas-247
3,250 MCM,4/0,PGTAS 248,150,https://www.powerground.com.co/product-page/molde-para-union-en-t-horizontal-pgtas-248
3,250 MCM,2/0,PGTAS 250,90,https://www.powerground.com.co/product-page/molde-para-union-en-t-horizontal-pgtas-250
3,250 MCM,1/0,PGTAS 251,90,https://www.powerground.com.co/product-page/molde-para-union-en-t-horizontal-pgtas-251
3,250 MCM,2,PGTAS 253,90,https://www.powerground.com.co/product-page/molde-para-union-en-t-horizontal-pgtas-253
4,2,2,PGPTS 1313,65,https://www.powerground.com.co/product-page/pgpts-1313-molde-para-union-horizontal-paralelo-cable-cable
4,1/0,1/0,PGPTS 1318,90,https://www.powerground.com.co/product-page/pgpts-1318-molde-para-union-horizontal-paralelo-cable-cable
4,1/0,2,PGPTS 1320,90,https://www.powerground.com.co/product-page/pgpts-1320-molde-para-union-horizontal-paralelo-cable-cable
4,2/0,2/0,PGPTS 1322,115,https://www.powerground.com.co/product-page/pgpts-1322-molde-para-union-horizontal-paralelo-cable-cable
4,2/0,1/0,PGPTS 1323,115,https://www.powerground.com.co/product-page/pgpts-1323-molde-para-union-horizontal-paralelo-cable-cable
4,2/0,2,PGPTS 1325,90,https://www.powerground.com.co/product-page/pgpts-1325-molde-para-union-horizontal-paralelo-cable-cable
4,4/0,4/0,PGPTS 1331,200,https://www.powerground.com.co/product-page/pgpts-1331-molde-para-union-horizontal-paralelo-cable-cable
4,4/0,2/0,PGPTS 1333,150,https://www.powerground.com.co/product-page/pgpts-1333-molde-para-union-horizontal-paralelo-cable-cable
4,4/0,1/0,PGPTS 1334,150,https://www.powerground.com.co/product-page/pgpts-1334-molde-para-union-horizontal-paralelo-cable-cable
4,4/0,2,PGPTS 1336,150,https://www.powerground.com.co/product-page/pgpts-1336-molde-para-union-horizontal-paralelo-cable-cable
4,250 MCM,250 MCM,PGPTS 1337,250,https://www.powerground.com.co/product-page/pgpts-1337-molde-para-union-horizontal-paralelo-cable-cable
4,250 MCM,4/0,PGPTS 1338,200,https://www.powerground.com.co/product-page/pgpts-1338-molde-para-union-horizontal-paralelo-cable-cable
4,250 MCM,2/0,PGPTS 1340,150,https://www.powerground.com.co/product-page/pgpts-1340-molde-para-union-horizontal-paralelo-cable-cable
4,250 MCM,1/0,PGPTS 1341,150,https://www.powerground.com.co/product-page/pgpts-1341molde-para-union-horizontal-paralelo-cable-cable
